Region,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,gender,Order_Priority_Encoded,Order_year,Order_month,Order_day,Category_Furniture,Category_Office Supplies,Category_Technology
West,Tables,581.4,9,0.2,91.9954,57.2,F,3.0,2011,12,12,1,0,0
Africa,Phones,581.4,6,0.0,91.9954,57.2,M,3.0,2011,9,14,0,0,1
East,Machines,581.4,4,0.0,91.9954,57.2,M,3.0,2011,9,14,0,0,1
South,Machines,581.4,4,0.5,-55.125,57.2,M,3.0,2014,11,5,0,0,1
North,Copiers,581.4,9,0.0,91.9954,57.2,M,3.0,2014,1,14,0,0,1
Oceania,Phones,581.4,5,0.1,91.9954,57.2,M,2.0,2011,1,10,0,0,1
Southeast Asia,Phones,581.4,6,0.17,-55.125,57.2,F,3.0,2013,8,22,0,0,1
Central Asia,Phones,581.4,7,0.0,91.9954,57.2,M,3.0,2014,11,11,0,0,1
Central Asia,Bookcases,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2014,9,26,1,0,0
North,Phones,581.4,9,0.0,91.9954,57.2,M,3.0,2012,12,13,0,0,1
Central,Appliances,581.4,7,0.2,91.9954,57.2,Unknown,4.0,2011,9,23,0,1,0
Central,Binders,581.4,5,0.0,91.9954,57.2,Unknown,2.0,2011,9,23,0,1,0
Central,Chairs,581.4,5,0.1,91.9954,57.2,M,4.0,2013,3,8,1,0,0
North Asia,Chairs,581.4,6,0.0,91.9954,57.2,M,3.0,2014,8,28,1,0,0
Central Asia,Machines,581.4,7,0.0,91.9954,57.2,M,4.0,2014,5,1,0,0,1
South,Chairs,581.4,9,0.0,91.9954,57.2,M,3.0,2014,12,18,1,0,0
East,Binders,581.4,3,0.2,91.9954,57.2,F,3.0,2012,6,16,0,1,0
EMEA,Copiers,581.4,8,0.0,91.9954,57.2,F,4.0,2014,9,18,0,0,1
West,Copiers,581.4,5,0.2,91.9954,57.2,M,3.0,2014,7,25,0,0,1
North Asia,Bookcases,581.4,5,0.0,91.9954,57.2,M,4.0,2011,12,17,1,0,0
Africa,Phones,581.4,4,0.0,91.9954,57.2,F,3.0,2013,12,18,0,0,1
Central Asia,Copiers,581.4,4,0.0,91.9954,57.2,F,4.0,2012,5,30,0,0,1
West,Copiers,581.4,7,0.0,91.9954,57.2,M,3.0,2012,3,19,0,0,1
Central Asia,Tables,581.4,2,0.0,91.9954,57.2,M,4.0,2012,5,25,1,0,0
Oceania,Appliances,581.4,9,0.1,91.9954,57.2,M,3.0,2014,8,5,0,1,0
South,Phones,581.4,9,0.2,91.9954,57.2,M,2.0,2014,8,24,0,0,1
Central Asia,Bookcases,581.4,7,0.0,91.9954,57.2,M,3.0,2014,3,11,1,0,0
East,Machines,581.4,4,0.0,91.9954,57.2,M,2.0,2012,11,8,0,0,1
Central,Phones,581.4,7,0.0,91.9954,57.2,M,2.0,2014,8,11,0,0,1
Central,Phones,581.4,9,0.0,91.9954,57.2,F,4.0,2013,8,31,0,0,1
North Asia,Chairs,581.4,9,0.0,91.9954,57.2,M,3.0,2014,1,18,1,0,0
South,Appliances,581.4,7,0.0,91.9954,57.2,M,4.0,2013,12,2,0,1,0
South,Bookcases,581.4,5,0.0,91.9954,57.2,M,3.0,2014,12,7,1,0,0
Central Asia,Tables,581.4,4,0.0,91.9954,57.2,F,4.0,2014,12,16,1,0,0
North,Phones,581.4,4,0.0,91.9954,57.2,M,4.0,2014,11,20,0,0,1
EMEA,Tables,581.4,4,0.0,91.9954,57.2,F,4.0,2011,11,9,1,0,0
North Asia,Chairs,581.4,7,0.0,91.9954,57.2,M,3.0,2013,6,7,1,0,0
Central,Appliances,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2011,11,22,0,1,0
Africa,Chairs,581.4,8,0.0,91.9954,57.2,M,3.0,2013,3,29,1,0,0
Southeast Asia,Tables,581.4,7,0.47,-55.125,57.2,F,3.0,2014,8,26,1,0,0
North,Phones,581.4,6,0.1,38.07,57.2,F,3.0,2012,9,20,0,0,1
Oceania,Phones,581.4,5,0.1,91.9954,57.2,M,4.0,2014,5,16,0,0,1
South,Binders,581.4,5,0.0,91.9954,57.2,M,2.0,2012,3,16,0,1,0
Central,Copiers,581.4,9,0.0,91.9954,57.2,M,4.0,2013,11,24,0,0,1
North Asia,Copiers,581.4,9,0.0,91.9954,57.2,M,2.0,2011,11,9,0,0,1
Central Asia,Chairs,581.4,5,0.0,91.95,57.2,M,4.0,2011,10,28,1,0,0
Central,Chairs,581.4,9,0.1,63.546,57.2,M,3.0,2014,11,19,1,0,0
Africa,Copiers,581.4,9,0.0,91.9954,57.2,M,2.0,2014,10,28,0,0,1
Central,Binders,581.4,4,0.0,91.9954,57.2,M,3.0,2014,1,17,0,1,0
East,Chairs,581.4,9,0.3,-55.125,57.2,M,2.0,2014,8,18,1,0,0
Central,Phones,581.4,5,0.0,91.9954,57.2,F,1.0,2013,1,29,0,0,1
Southeast Asia,Appliances,581.4,6,0.17,-55.125,57.2,F,4.0,2012,9,18,0,1,0
Africa,Appliances,581.4,4,0.0,91.9954,57.2,M,2.0,2013,11,23,0,1,0
Oceania,Copiers,581.4,9,0.1,91.9954,57.2,F,3.0,2012,6,13,0,0,1
Central Asia,Bookcases,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2013,10,28,1,0,0
North Asia,Copiers,581.4,6,0.0,0.0,57.2,F,3.0,2013,12,12,0,0,1
Central Asia,Phones,581.4,3,0.0,91.9954,57.2,M,4.0,2012,5,25,0,0,1
West,Tables,581.4,6,0.0,91.9954,57.2,M,4.0,2013,5,6,1,0,0
Central,Appliances,581.4,5,0.1,91.9954,57.2,M,4.0,2013,12,2,0,1,0
Canada,Phones,581.4,6,0.0,91.9954,57.2,M,4.0,2014,12,23,0,0,1
Southeast Asia,Chairs,581.4,7,0.25,91.9954,57.2,M,3.0,2013,1,28,1,0,0
Oceania,Tables,581.4,2,0.0,91.9954,57.2,M,3.0,2012,5,7,1,0,0
Central,Bookcases,581.4,7,0.0,91.9954,57.2,F,3.0,2013,11,27,1,0,0
Oceania,Chairs,581.4,7,0.1,91.9954,57.2,M,2.0,2012,11,28,1,0,0
Central,Machines,581.4,9,0.15,-0.054,57.2,M,4.0,2012,9,29,0,0,1
Central,Appliances,581.4,7,0.1,34.944,57.2,F,3.0,2013,9,3,0,1,0
Africa,Phones,581.4,6,0.0,91.9954,57.2,M,1.0,2013,7,26,0,0,1
Oceania,Phones,581.4,6,0.1,91.9954,57.2,M,1.0,2014,11,19,0,0,1
Central,Phones,581.4,4,0.15,91.9954,57.2,M,3.0,2012,6,19,0,0,1
North,Phones,581.4,6,0.0,91.9954,57.2,M,2.0,2012,10,11,0,0,1
Central,Copiers,581.4,5,0.0,91.9954,57.2,Unknown,4.0,2011,8,9,0,0,1
Central,Phones,581.4,8,0.15,91.9954,57.2,M,3.0,2011,11,5,0,0,1
West,Tables,581.4,7,0.0,91.9954,57.2,M,1.0,2014,11,7,1,0,0
South,Bookcases,581.4,9,0.0,91.9954,57.2,M,3.0,2013,4,26,1,0,0
Oceania,Appliances,581.4,8,0.1,91.9954,57.2,M,3.0,2013,12,26,0,1,0
Central,Chairs,581.4,9,0.5,-55.125,57.2,F,3.0,2013,3,13,1,0,0
East,Machines,581.4,7,0.0,91.9954,57.2,M,2.0,2013,4,17,0,0,1
Central,Phones,581.4,9,0.5,-55.125,57.2,M,3.0,2012,4,5,0,0,1
South,Bookcases,581.4,4,0.0,91.9954,57.2,Unknown,4.0,2012,12,26,1,0,0
Oceania,Copiers,581.4,5,0.1,91.9954,57.2,F,4.0,2013,4,18,0,0,1
North Asia,Appliances,581.4,7,0.0,91.9954,57.2,F,3.0,2011,5,24,0,1,0
West,Machines,581.4,7,0.2,91.9954,57.2,F,3.0,2012,5,22,0,0,1
Central,Copiers,581.4,5,0.0,91.9954,57.2,M,3.0,2013,5,16,0,0,1
West,Storage,581.4,7,0.0,91.9954,57.2,M,4.0,2011,12,6,0,1,0
Central,Chairs,581.4,9,0.1,91.9954,57.2,F,2.0,2011,2,16,1,0,0
North Asia,Bookcases,581.4,4,0.0,91.9954,57.2,Unknown,4.0,2013,5,31,1,0,0
Oceania,Copiers,581.4,6,0.1,91.9954,57.2,M,3.0,2013,10,1,0,0,1
East,Machines,581.4,4,0.0,91.9954,57.2,M,2.0,2011,12,14,0,0,1
Central,Binders,581.4,9,0.0,91.9954,57.2,M,2.0,2013,12,18,0,1,0
Oceania,Copiers,581.4,5,0.1,-37.83,57.2,M,4.0,2013,12,11,0,0,1
Central,Copiers,581.4,6,0.15,-55.125,57.2,F,4.0,2014,3,18,0,0,1
Southeast Asia,Phones,581.4,3,0.0,91.9954,57.2,M,4.0,2014,12,19,0,0,1
South,Tables,581.4,7,0.0,91.9954,57.2,F,3.0,2011,12,20,1,0,0
East,Copiers,581.4,4,0.4,91.9954,57.2,M,2.0,2013,5,24,0,0,1
East,Chairs,581.4,9,0.0,91.9954,57.2,M,4.0,2011,10,14,1,0,0
South,Copiers,581.4,7,0.002,91.9954,57.2,M,4.0,2014,9,18,0,0,1
Central Asia,Copiers,581.4,5,0.0,91.9954,57.2,M,4.0,2013,11,25,0,0,1
North Asia,Accessories,581.4,9,0.0,91.9954,57.2,M,4.0,2013,11,7,0,0,1
Southeast Asia,Bookcases,581.4,8,0.07,91.9954,57.2,M,3.0,2014,7,19,1,0,0
Southeast Asia,Phones,581.4,7,0.17,91.9954,57.2,M,3.0,2012,8,16,0,0,1
West,Chairs,581.4,4,0.2,91.9954,57.2,M,4.0,2013,8,27,1,0,0
Southeast Asia,Bookcases,581.4,9,0.07,91.9954,57.2,M,3.0,2012,1,11,1,0,0
North,Appliances,581.4,7,0.0,91.9954,57.2,F,2.0,2013,1,28,0,1,0
North Asia,Machines,581.4,8,0.5,-55.125,57.2,M,4.0,2012,6,14,0,0,1
Central,Chairs,581.4,8,0.0,91.9954,57.2,Unknown,3.0,2011,12,1,1,0,0
West,Machines,581.4,4,0.2,91.9954,57.2,M,3.0,2013,6,25,0,0,1
South,Accessories,581.4,9,0.0,91.9954,57.2,M,3.0,2012,12,6,0,0,1
South,Copiers,581.4,7,0.0,91.9954,57.2,M,3.0,2013,9,5,0,0,1
Africa,Phones,581.4,6,0.0,91.9954,57.2,F,3.0,2014,9,18,0,0,1
West,Chairs,581.4,8,0.2,91.9954,57.2,F,4.0,2014,9,12,1,0,0
Southeast Asia,Appliances,581.4,8,0.17,91.9954,57.2,F,3.0,2012,8,3,0,1,0
Oceania,Phones,581.4,3,0.1,91.9954,57.2,M,3.0,2014,12,9,0,0,1
North Asia,Copiers,581.4,5,0.0,91.9954,57.2,F,4.0,2012,10,25,0,0,1
East,Chairs,581.4,9,0.1,91.9954,57.2,F,4.0,2012,7,13,1,0,0
Oceania,Bookcases,581.4,7,0.1,-55.125,57.2,M,3.0,2013,8,27,1,0,0
Central Asia,Accessories,581.4,9,0.0,91.9954,57.2,M,3.0,2011,5,13,0,0,1
Central,Appliances,581.4,7,0.5,-55.125,57.2,M,3.0,2011,11,3,0,1,0
Central,Bookcases,581.4,3,0.1,91.9954,57.2,M,4.0,2014,8,2,1,0,0
Central,Copiers,581.4,9,0.0,36.0,57.2,M,4.0,2011,9,20,0,0,1
Central,Machines,581.4,2,0.1,91.9954,57.2,M,2.0,2014,1,8,0,0,1
Oceania,Phones,581.4,5,0.1,91.9954,57.2,M,3.0,2013,3,11,0,0,1
Central,Phones,581.4,5,0.0,91.9954,57.2,M,3.0,2012,2,2,0,0,1
Central,Bookcases,581.4,4,0.32,-55.125,57.2,F,4.0,2013,9,9,1,0,0
Central,Tables,581.4,9,0.2,38.948,57.2,M,3.0,2014,4,9,1,0,0
East,Machines,581.4,7,0.0,91.9954,57.2,F,2.0,2013,3,2,0,0,1
North,Appliances,581.4,5,0.0,91.9954,57.2,M,3.0,2014,3,19,0,1,0
North Asia,Appliances,581.4,6,0.0,91.9954,57.2,M,3.0,2013,10,2,0,1,0
South,Appliances,581.4,7,0.0,91.9954,57.2,Unknown,2.0,2013,1,12,0,1,0
EMEA,Phones,581.4,8,0.0,91.9954,57.2,F,2.0,2014,8,20,0,0,1
North Asia,Tables,581.4,3,0.0,91.9954,57.2,M,4.0,2011,12,17,1,0,0
Oceania,Appliances,581.4,7,0.1,91.9954,57.2,M,3.0,2014,3,14,0,1,0
Central,Accessories,581.4,5,0.0,91.9954,57.2,M,4.0,2013,3,26,0,0,1
Southeast Asia,Bookcases,581.4,8,0.07,91.9954,57.2,M,3.0,2014,7,9,1,0,0
Southeast Asia,Chairs,581.4,9,0.27,-55.125,57.2,M,3.0,2013,6,11,1,0,0
North,Phones,581.4,9,0.1,91.9954,57.2,F,2.0,2011,8,10,0,0,1
Southeast Asia,Phones,581.4,5,0.17,-0.024,57.2,M,3.0,2014,3,17,0,0,1
Oceania,Bookcases,581.4,5,0.1,-36.39,57.2,M,2.0,2013,1,2,1,0,0
East,Machines,581.4,5,0.5,-55.125,57.2,F,1.0,2013,11,26,0,0,1
Southeast Asia,Phones,581.4,5,0.17,-0.024,57.2,M,3.0,2012,10,10,0,0,1
East,Phones,581.4,8,0.0,91.9954,57.2,M,3.0,2014,10,23,0,0,1
North Asia,Tables,581.4,5,0.3,-55.125,57.2,M,3.0,2011,6,17,1,0,0
North,Bookcases,581.4,7,0.1,91.9954,57.2,Unknown,3.0,2014,4,3,1,0,0
North,Phones,581.4,5,0.0,91.9954,57.2,F,3.0,2011,5,17,0,0,1
EMEA,Chairs,581.4,6,0.0,91.9954,57.2,F,3.0,2014,2,11,1,0,0
South,Accessories,581.4,6,0.0,91.9954,57.2,M,4.0,2013,10,12,0,0,1
South,Machines,581.4,3,0.5,-55.125,57.2,M,3.0,2011,9,19,0,0,1
EMEA,Appliances,581.4,6,0.0,91.9954,57.2,M,4.0,2014,7,17,0,1,0
Central,Machines,581.4,9,0.15,91.9954,57.2,F,1.0,2014,11,22,0,0,1
Central,Tables,581.4,7,0.35,-55.125,57.2,M,4.0,2011,5,30,1,0,0
South,Copiers,581.4,5,0.0,91.9954,57.2,M,3.0,2014,4,1,0,0,1
Central Asia,Appliances,581.4,8,0.0,91.9954,57.2,F,2.0,2014,7,17,0,1,0
Central,Phones,581.4,9,0.15,91.9954,57.2,M,2.0,2014,8,29,0,0,1
Oceania,Tables,581.4,6,0.3,91.9954,57.2,M,4.0,2012,12,26,1,0,0
Central Asia,Appliances,581.4,7,0.0,91.9954,57.2,M,3.0,2014,11,11,0,1,0
Southeast Asia,Tables,581.4,5,0.47,-55.125,57.2,F,4.0,2013,5,1,1,0,0
North,Phones,581.4,7,0.0,91.9954,57.2,F,2.0,2011,8,16,0,0,1
Southeast Asia,Tables,581.4,8,0.0,91.9954,57.2,M,3.0,2014,12,3,1,0,0
Oceania,Chairs,581.4,5,0.1,91.9954,57.2,M,3.0,2013,6,25,1,0,0
North,Tables,581.4,6,0.0,91.9954,57.2,M,2.0,2013,1,21,1,0,0
West,Binders,581.4,3,0.2,91.9954,57.2,M,2.0,2013,10,22,0,1,0
Southeast Asia,Appliances,581.4,4,0.17,91.9954,57.2,M,4.0,2014,7,12,0,1,0
West,Phones,581.4,7,0.2,91.9954,57.2,M,2.0,2013,12,26,0,0,1
Central,Appliances,581.4,2,0.1,91.9954,57.2,M,4.0,2014,9,1,0,1,0
East,Storage,581.4,7,0.0,91.9954,57.2,Unknown,3.0,2011,11,17,0,1,0
Oceania,Appliances,581.4,9,0.1,91.9954,57.2,M,2.0,2011,6,7,0,1,0
Central,Storage,581.4,6,0.1,-11.934,57.2,F,4.0,2011,10,13,0,1,0
North Asia,Copiers,581.4,4,0.0,0.0,57.2,M,4.0,2013,6,10,0,0,1
Oceania,Appliances,581.4,9,0.1,91.9954,57.2,M,2.0,2014,12,13,0,1,0
East,Bookcases,581.4,5,0.0,91.9954,57.2,F,3.0,2014,10,13,1,0,0
Southeast Asia,Appliances,581.4,3,0.15,-55.125,57.2,Unknown,3.0,2014,6,10,0,1,0
Africa,Storage,581.4,9,0.0,91.9954,57.2,M,4.0,2011,2,15,0,1,0
South,Bookcases,581.4,7,0.0,91.9954,57.2,M,1.0,2013,11,28,1,0,0
East,Machines,581.4,5,0.0,91.9954,57.2,M,3.0,2014,6,18,0,0,1
East,Storage,581.4,9,0.0,91.9954,57.2,M,3.0,2013,9,20,0,1,0
Caribbean,Phones,581.4,6,0.2,-55.125,57.2,M,3.0,2011,8,9,0,0,1
East,Phones,581.4,3,0.0,91.9954,57.2,M,4.0,2011,6,21,0,0,1
North Asia,Copiers,581.4,4,0.0,0.0,57.2,M,3.0,2012,8,2,0,0,1
Central,Appliances,581.4,5,0.1,91.9954,57.2,M,3.0,2012,6,19,0,1,0
West,Chairs,581.4,6,0.2,-55.125,57.2,F,4.0,2012,7,16,1,0,0
EMEA,Machines,581.4,9,0.0,91.9954,57.2,F,4.0,2013,8,2,0,0,1
Central Asia,Storage,581.4,9,0.0,91.9954,57.2,F,4.0,2014,5,22,0,1,0
North Asia,Phones,581.4,9,0.0,91.9954,57.2,F,2.0,2011,2,10,0,0,1
South,Bookcases,581.4,3,0.0,91.9954,57.2,M,4.0,2013,9,27,1,0,0
Central Asia,Bookcases,581.4,3,0.0,91.9954,57.2,M,4.0,2014,6,2,1,0,0
Oceania,Bookcases,581.4,4,0.1,91.9954,57.2,F,4.0,2013,9,30,1,0,0
Southeast Asia,Phones,581.4,4,0.0,91.9954,57.2,M,3.0,2011,7,19,0,0,1
EMEA,Bookcases,581.4,8,0.0,91.9954,57.2,M,2.0,2014,8,14,1,0,0
East,Copiers,581.4,4,0.4,91.9954,57.2,M,4.0,2013,7,26,0,0,1
North Asia,Copiers,581.4,6,0.0,91.9954,57.2,M,3.0,2014,10,31,0,0,1
North Asia,Phones,581.4,8,0.0,91.9954,57.2,M,2.0,2013,7,25,0,0,1
Central Asia,Phones,581.4,4,0.0,91.9954,57.2,F,3.0,2014,10,7,0,0,1
Central Asia,Phones,581.4,5,0.0,91.9954,57.2,Unknown,3.0,2014,10,17,0,0,1
Oceania,Chairs,581.4,4,0.1,91.9954,57.2,M,4.0,2013,12,3,1,0,0
Southeast Asia,Appliances,581.4,6,0.15,91.9954,57.2,F,3.0,2014,11,8,0,1,0
North Asia,Chairs,581.4,3,0.0,91.9954,57.2,M,4.0,2013,6,10,1,0,0
Central,Bookcases,581.4,3,0.1,91.9954,57.2,F,4.0,2011,9,21,1,0,0
Central,Chairs,581.4,4,0.1,91.9954,57.2,M,3.0,2011,6,21,1,0,0
West,Copiers,581.4,6,0.2,91.9954,57.2,F,3.0,2014,5,9,0,0,1
East,Supplies,581.4,7,0.2,-55.125,57.2,M,2.0,2014,9,23,0,1,0
Africa,Appliances,581.4,4,0.0,91.9954,57.2,M,4.0,2014,11,26,0,1,0
Africa,Phones,581.4,2,0.0,91.9954,57.2,M,4.0,2012,3,30,0,0,1
South,Appliances,581.4,9,0.0,91.9954,57.2,F,2.0,2011,11,10,0,1,0
East,Binders,581.4,6,0.2,91.9954,57.2,M,2.0,2014,8,22,0,1,0
North,Appliances,581.4,7,0.0,91.9954,57.2,M,2.0,2012,8,1,0,1,0
Central,Chairs,581.4,7,0.0,91.9954,57.2,Unknown,3.0,2014,12,23,1,0,0
West,Machines,581.4,6,0.2,91.9954,57.2,M,3.0,2014,7,4,0,0,1
East,Phones,581.4,3,0.0,91.9954,57.2,M,4.0,2014,11,21,0,0,1
EMEA,Tables,581.4,4,0.0,91.9954,57.2,M,3.0,2013,1,23,1,0,0
Southeast Asia,Bookcases,581.4,7,0.07,91.9954,57.2,F,3.0,2011,5,21,1,0,0
North,Bookcases,581.4,7,0.0,91.9954,57.2,M,3.0,2014,9,28,1,0,0
Central,Machines,581.4,5,0.15,91.9954,57.2,F,4.0,2011,11,6,0,0,1
EMEA,Tables,581.4,8,0.5,-55.125,57.2,M,3.0,2014,1,28,1,0,0
Oceania,Copiers,581.4,9,0.1,91.9954,57.2,M,2.0,2014,9,13,0,0,1
West,Tables,581.4,9,0.0,91.9954,57.2,F,3.0,2012,12,1,1,0,0
South,Phones,581.4,9,0.4,38.196,57.2,M,3.0,2011,12,22,0,0,1
Africa,Bookcases,581.4,6,0.0,91.9954,57.2,F,4.0,2013,2,5,1,0,0
Central Asia,Copiers,581.4,3,0.0,91.9954,57.2,M,4.0,2011,12,28,0,0,1
Central,Chairs,581.4,5,0.0,91.9954,57.2,F,3.0,2013,5,28,1,0,0
Africa,Phones,581.4,4,0.0,91.9954,57.2,F,3.0,2011,4,27,0,0,1
Oceania,Tables,581.4,4,0.0,91.9954,57.2,F,3.0,2011,10,6,1,0,0
North Asia,Tables,581.4,7,0.3,-55.125,57.2,F,4.0,2013,8,24,1,0,0
South,Chairs,581.4,4,0.0,91.9954,57.2,M,4.0,2013,9,21,1,0,0
Central,Appliances,581.4,5,0.0,91.9954,57.2,Unknown,4.0,2014,12,17,0,1,0
Central,Machines,581.4,3,0.4,-55.125,57.2,M,2.0,2011,9,19,0,0,1
West,Accessories,581.4,4,0.0,91.9954,57.2,M,3.0,2014,7,4,0,0,1
South,Binders,581.4,7,0.0,91.9954,57.2,M,3.0,2011,5,21,0,1,0
Central,Appliances,581.4,5,0.0,54.3,57.2,M,3.0,2014,6,3,0,1,0
Central,Phones,581.4,5,0.0,91.9954,57.2,M,4.0,2014,9,12,0,0,1
North Asia,Phones,581.4,2,0.0,91.9954,57.2,F,4.0,2014,4,17,0,0,1
Central,Machines,581.4,7,0.15,-55.125,57.2,F,4.0,2012,11,21,0,0,1
Central,Bookcases,581.4,3,0.1,91.9954,57.2,M,4.0,2014,3,6,1,0,0
Central,Phones,581.4,5,0.1,91.9954,57.2,Unknown,3.0,2012,7,23,0,0,1
Southeast Asia,Appliances,581.4,7,0.17,91.9954,57.2,M,3.0,2014,11,7,0,1,0
South,Chairs,581.4,9,0.0,91.9954,57.2,F,4.0,2014,11,22,1,0,0
Central,Bookcases,581.4,5,0.0,91.9954,57.2,Unknown,3.0,2011,6,11,1,0,0
North,Copiers,581.4,9,0.002,18.8592,57.2,M,3.0,2012,9,14,0,0,1
Oceania,Copiers,581.4,7,0.4,44.436,57.2,M,4.0,2011,11,25,0,0,1
North Asia,Copiers,581.4,8,0.0,91.9954,57.2,F,3.0,2012,8,10,0,0,1
North,Appliances,581.4,9,0.0,91.9954,57.2,M,3.0,2013,3,20,0,1,0
Africa,Copiers,581.4,9,0.0,91.9954,57.2,M,2.0,2013,12,30,0,0,1
Central Asia,Chairs,581.4,6,0.0,91.9954,57.2,M,3.0,2012,10,4,1,0,0
South,Phones,581.4,8,0.1,-11.16,57.2,Unknown,4.0,2012,8,6,0,0,1
Southeast Asia,Chairs,581.4,5,0.27,91.9954,57.2,F,3.0,2012,10,2,1,0,0
Southeast Asia,Appliances,581.4,3,0.17,91.9954,57.2,M,4.0,2014,3,26,0,1,0
Caribbean,Copiers,581.4,5,0.002,91.9954,57.2,M,3.0,2014,11,21,0,0,1
Central,Copiers,581.4,8,0.5,-55.125,57.2,M,4.0,2011,11,30,0,0,1
Oceania,Chairs,581.4,6,0.1,91.9954,57.2,M,4.0,2011,11,3,1,0,0
East,Appliances,581.4,8,0.0,91.9954,57.2,F,2.0,2012,11,23,0,1,0
EMEA,Copiers,581.4,8,0.0,91.9954,57.2,Unknown,3.0,2012,12,6,0,0,1
North,Phones,581.4,3,0.0,89.46,57.2,M,3.0,2013,12,3,0,0,1
North,Phones,581.4,8,0.0,91.9954,57.2,M,3.0,2012,12,20,0,0,1
North,Phones,581.4,6,0.0,91.9954,57.2,M,2.0,2012,9,13,0,0,1
West,Appliances,581.4,4,0.0,91.9954,57.2,M,4.0,2013,11,4,0,1,0
West,Binders,581.4,1,0.2,91.9954,57.2,M,4.0,2013,11,16,0,1,0
West,Copiers,581.4,3,0.2,91.9954,57.2,Unknown,3.0,2013,4,8,0,0,1
EMEA,Phones,581.4,9,0.5,-55.125,57.2,F,3.0,2012,5,23,0,0,1
East,Copiers,581.4,3,0.0,91.9954,57.2,M,2.0,2014,11,18,0,0,1
Africa,Phones,581.4,6,0.0,91.9954,57.2,F,2.0,2014,4,14,0,0,1
North,Phones,581.4,5,0.0,91.9954,57.2,M,3.0,2014,8,29,0,0,1
Oceania,Appliances,581.4,6,0.4,-55.125,57.2,M,3.0,2014,5,16,0,1,0
Africa,Appliances,581.4,6,0.0,91.9954,57.2,M,4.0,2012,12,13,0,1,0
